id,availability,condition,description,image_link,link,title,price,brand
5c23177f1038977654dd794f,in stock,new,View to see more information on Amazon,http://homeklondike.site/wp-content/uploads/2016/12/2-smart-home-garden-device-click-and-grow.jpg,https://www.amazon.com/Click-Grow-Garden-Gardening-Capsules/dp/B01MRVMKQH?tag=bsanie00-20,Click & Grow Smart Garden 3,99,Click & Grow Smart Garden 3
5c318ae4ffb7ad00049ca407,in stock,new,View to see more information on Amazon,https://techgearlab-mvnab3pwrvp3t0.stackpathdns.com/photos/15/16/273125_17525_XL.jpg,https://www.amazon.com/Garmin-vívoactive-GPS-Smartwatch-Stainless-x/dp/B074KBWL9J?tag=bsanie00-20,Garmin vívoactive 3,217,Garmin vívoactive 3
5c31a003a7adcf000452d221,in stock,new,View to see more information on Amazon,https://static1.squarespace.com/static/576bf6f9197aeaf55ed0447d/5bf881188985839163a808c1/5c3037944fa51ae3f52710e0/1546663970746/71VT8eVdELL._SL1500_.jpg?format=750w,https://www.amazon.com/Sennheiser-CX-3-00-Black-Headphone/dp/B00NQ1808Y?tag=bsanie00-20,Sennheiser CX 3.00,39,Sennheiser CX 3.00
5c31a0c2a7adcf000452d222,in stock,new,View to see more information on Amazon,https://images-na.ssl-images-amazon.com/images/I/615WxvyEIBL._SX425_.jpg,https://www.amazon.com/dp/B07B41WS48?tag=bsanie00-20,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler,189,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler
5c31a0fea7adcf000452d223,in stock,new,View to see more information on Amazon,https://static1.squarespace.com/static/576bf6f9197aeaf55ed0447d/5bf881188985839163a808c1/5c2fd9faf950b711043a2fbf/1546667991208/81jlqikNG1L._SL1500_.jpg?format=1000w,https://www.amazon.com/Samsung-Endurance-128GB-Micro-Adapter/dp/B07B984HJ5?tag=bsanie00-20,Samsung PRO Endurance 128GB Micro SDXC Card,44,Samsung PRO Endurance 128GB Micro SDXC Card
5c31a128a7adcf000452d224,in stock,new,View to see more information on Amazon,https://static1.squarespace.com/static/576bf6f9197aeaf55ed0447d/5bf881188985839163a808c1/5c2fd865b8a0459a67f9e84d/1546639684283/61D02fJFS6L._SL1500_.jpg?format=750w,https://www.amazon.com/gp/product/B07HVFGVN3?tag=bsanie00-20,Soundcore Mini 2 Pocket Bluetooth Speaker 2-Pack,61,Soundcore Mini 2 Pocket Bluetooth Speaker 2-Pack
5c31a321a7adcf000452d225,in stock,new,View to see more information on Amazon,https://static1.squarespace.com/static/576bf6f9197aeaf55ed0447d/5bf881188985839163a808c1/5c2fe45dcd8366ef2a3a4d21/1546667859121/51eCqVfTTNL.jpg?format=750w,https://www.amazon.com/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?tag=bsanie00-20,Seagate Barracuda Internal Hard Drive 8TB,182,Seagate Barracuda Internal Hard Drive 8TB
5c3242be708ea90004e1aa8c,in stock,new,View to see more information on Amazon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4Lqeoqk7LKKS26FdfZ8qK0tuMGWnfBOaaaBeIhKUoLS8qAXuh,https://www.amazon.com/Vector-Robot-Anki-Amazon-Built/dp/B07G3ZNK4Y?tag=bsanie00-20,Vector Robot by Anki,239,Vector Robot by Anki
5c324449708ea90004e1aa8d,in stock,new,View to see more information on Amazon,https://amp.businessinsider.com/images/59c023a238d20d7f378b71f3-750-562.jpg,https://www.amazon.com/dp/B078HVJB69?tag=bsanie00-20,iPhone X,899,iPhone X
5c324518708ea90004e1aa8e,in stock,new,View to see more information on Amazon,https://cnet4.cbsistatic.com/img/1NcFMExN6qPJPNL2VkRT2i7qxOo=/970x0/2017/09/29/454c53d5-d0be-4c07-938c-6b130f4bb66f/gopro-hero-6-black-01.jpg,https://www.amazon.com/GoPro-HERO7-Black-Waterproof-Streaming-Stabilization/dp/B07GDGZCCH?tag=bsanie00-20,GoPro Hero 7 Black,366,GoPro Hero 7 Black
5c3245af708ea90004e1aa8f,in stock,new,View to see more information on Amazon,https://cnet3.cbsistatic.com/img/cXRwc4sMPkVhpovDAp9qQTkp3wg=/970x0/2017/02/23/5bf20b56-a1a7-4587-868f-f9f848dbc7bf/nintendo-switch-console-4923.jpg,https://www.amazon.com/Nintendo-Switch-Neon-Red-Blue-Joy/dp/B01MUAGZ49?tag=bsanie00-20,Nintendo Switch,299,Nintendo Switch
5c325d15437f1200043274fc,in stock,new,View to see more information on Amazon,https://amp.businessinsider.com/images/5bb28eb249aa8509aa5bf57a-960-720.jpg,https://www.amazon.com/All-new-Echo-Dot-3rd-Gen/dp/B0792KTHKJ?tag=bsanie00-20,Amazon Echo Dot (Gen 3),29,Amazon Echo Dot (Gen 3)
5c325dab437f1200043274fd,in stock,new,View to see more information on Amazon,https://cdn.vox-cdn.com/thumbor/KelhMK8of4SadAsWjvig9-MC4UY=/0x0:2040x1360/1200x0/filters:focal(0x0:2040x1360):no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/13194179/akrales_180928_2979_0032.jpg,https://www.amazon.com/Portal-Facebook-Hands-Free-Calling-Built/dp/B07HG62QQZ?tag=bsanie00-20,Portal from Facebook,199,Portal from Facebook
5c325e01437f1200043274fe,in stock,new,View to see more information on Amazon,https://fbnewsroomus.files.wordpress.com/2018/10/portal_light_a.jpg?w=960,https://www.amazon.com/Portal-Facebook-Hands-Free-Calling-Built/dp/B07HFWG8S4?tag=bsanie00-20,Portal Plus from Facebook,349,Portal Plus from Facebook
5c325f4a437f120004327501,in stock,new,View to see more information on Amazon,https://target.scene7.com/is/image/Target/GUEST_6ae6702b-c0b5-427b-8b74-cf2761aaca3b?wid=488&hei=488&fmt=pjpeg,https://www.amazon.com/dp/B00N2ZDXW2?tag=bsanie00-20,Ring Video Doorbell,99,Ring Video Doorbell
5c325fe0437f120004327502,in stock,new,View to see more information on Amazon,https://amp.businessinsider.com/images/5b364837c60fa428008b482a-750-563.jpg,https://www.amazon.com/dp/B01DM6BDA4?tag=bsanie00-20,Ring Video Doorbell Pro,249,Ring Video Doorbell Pro
